"scenario","stopped_ATE","stopped_CATE","true_harmful","ATE_false_stop","CATE_false_stop","ATE_missed_stop","CATE_missed_stop"
"A_threshold",0.756,0.956,FALSE,0.756,0.956,NA,NA
"B_smooth_logistic",0.998,1,TRUE,NA,NA,0.002,0
